26/08/2021 14:11:22 [WARNI]  job_kekhai
26/08/2021 14:11:23 [WARNI]  LOGIN_TERRA: LẤY ACCESS TOKEN THÀNH CÔNG
26/08/2021 14:11:23 [WARNI]  CLIENT_TERRA: LẤY DANH SÁCH KHÁCH HÀNG THÀNH CÔNG
26/08/2021 14:11:23 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
26/08/2021 14:11:24 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
26/08/2021 14:11:24 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - VPĐD HANKYU HANSHIN PROPERTIES CORP. TẠI TP HỒ CHÍ MINH
26/08/2021 14:11:24 [WARNI]  Số lượng hồ sơ cần kê khai: 0
26/08/2021 14:11:24 [WARNI]  job_quet
26/08/2021 14:11:25 [WARNI]  LOGIN_TERRA: LẤY ACCESS TOKEN THÀNH CÔNG
26/08/2021 14:11:25 [WARNI]  CLIENT_TERRA: LẤY DANH SÁCH KHÁCH HÀNG THÀNH CÔNG
26/08/2021 14:11:25 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
26/08/2021 14:11:26 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
26/08/2021 14:11:26 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - VPĐD HANKYU HANSHIN PROPERTIES CORP. TẠI TP HỒ CHÍ MINH
26/08/2021 14:11:26 [WARNI]  Số lượng hồ sơ cần quét kết quả: 10
26/08/2021 14:11:57 [WARNI]  LOGIN_BHXH: THÀNH CÔNG
26/08/2021 14:12:08 [WARNI]  HỒ SƠ LƯU TẠM 24/08/2021 16:33 CHƯA CẬP NHẬT
26/08/2021 14:56:53 [WARNI]  CHẠY QUY TRÌNH QUÉT KẾT QUẢ
26/08/2021 14:56:53 [WARNI]  backup-20210826145653.zip
30/08/2021 14:55:58 [WARNI]  BẮT ĐẦU CHẠY
30/08/2021 14:55:58 [WARNI]  BACKUP
30/08/2021 14:55:58 [WARNI]  CHẠY QUY TRÌNH KÊ KHAI
30/08/2021 14:55:58 [ERROR]  LOGIN_TERRA: KHÔNG LẤY ĐƯỢC ACCESS TOKEN!
